Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/04/2021,31,WA,0,9048440,6642,0,4900479,4220,Admin,0,6642,0,4412060,2765
08/04/2021,31,AS,345,52559,127,160,29009,57,Report,345,127,183,24042,69
08/04/2021,31,WA,12142,9048440,13014,6767,4900479,7702,Report,12142,13014,5911,4409114,5906
08/04/2021,31,RI,0,1335521,872,0,721171,548,Admin,0,872,0,658622,345
08/04/2021,31,IL,20507,13737959,28912,13086,7887794,17574,Report,20507,28912,7806,6184160,10267
08/04/2021,31,MA,8587,9177481,10686,5641,5025885,6004,Report,8587,10686,3454,4420802,4523
08/04/2021,31,WV,618,1488957,507,445,827637,331,Report,618,507,325,700616,303
08/04/2021,31,NE,0,1954156,1851,0,1044029,1323,Admin,0,1851,0,957559,594
08/04/2021,31,CA,0,45467015,44327,0,25812930,28789,Admin,0,44327,0,21009367,16958
08/04/2021,31,HI,1597,1723982,1399,1111,1007198,912,Report,1597,1399,619,760225,615
08/04/2021,31,MN,0,6110306,4098,0,3323204,2823,Admin,0,4098,0,3029957,1499
08/04/2021,31,GU,398,203414,472,207,108644,241,Report,398,472,233,99024,274
08/04/2021,31,VA,0,9738560,8111,0,5292601,5309,Admin,0,8111,0,4672476,3137
08/04/2021,31,RP,0,26674,93,0,15345,77,Report,0,93,1,13627,24
08/04/2021,31,RI,1487,1335521,1789,915,721171,1090,Report,1487,1789,532,653856,857
08/04/2021,31,ID,0,1380947,1067,0,737440,789,Admin,0,1068,0,667902,361
08/04/2021,31,CO,11379,6509188,10119,7307,3507970,5975,Report,11379,10119,4500,3148013,4129
08/04/2021,31,RP,0,26674,75,0,15345,59,Admin,0,75,0,13519,23
08/04/2021,31,VA,14053,9738560,15972,8990,5292601,9929,Report,14053,15972,5157,4674811,6243
08/04/2021,31,PA,0,14662319,9216,0,8440605,6161,Admin,0,9216,0,6717178,3607
08/04/2021,31,FL,0,22806443,35983,0,12762530,27188,Admin,0,35984,0,10688988,9879
08/04/2021,31,DC,792,905336,1124,461,500548,670,Report,792,1124,355,388214,478
08/04/2021,31,GA,0,8942802,335,0,4905156,224,Admin,0,335,0,4095570,129
08/04/2021,31,NV,6470,2994091,7489,4556,1692445,5047,Report,6470,7489,2244,1378022,2769
08/04/2021,31,US,725329,348102478,677279,493441,192614017,445691,Report,725329,677279,253571,165334987,249563
08/04/2021,31,NH,1421,1599189,1600,1044,867604,1118,Report,1421,1600,477,794914,586
08/04/2021,31,AK,926,700531,892,637,383580,622,Report,926,892,387,334266,349
08/04/2021,31,VT,352,875208,617,253,483807,384,Report,352,617,166,422436,277
08/04/2021,31,NV,0,2994091,4418,0,1692445,3044,Admin,0,4419,0,1391334,1594
08/04/2021,31,UT,0,3029907,1489,0,1701306,967,Admin,0,1490,0,1453458,588
08/04/2021,31,GU,0,203414,152,0,108644,80,Admin,0,152,0,98926,91
08/04/2021,31,MH,0,36520,29,0,20181,10,Admin,0,30,0,17484,21
08/04/2021,31,MD,0,7254979,6910,0,3916627,4398,Admin,0,6910,0,3562232,2713
08/04/2021,31,LTC,1055,7906639,866,797,4672917,649,Report,1055,866,0,0,0
08/04/2021,31,PR,6042,3990725,4455,3203,2189548,2217,Report,6042,4455,3194,1920091,2473
08/04/2021,31,CO,0,6509188,6255,0,3507970,3951,Admin,0,6256,0,3160219,2550
08/04/2021,31,TN,0,5805067,7225,0,3159076,5342,Admin,0,7225,0,2734894,2096
08/04/2021,31,AR,31149,2497552,12405,17764,1447390,8630,Report,31149,12405,14070,1118090,4087
08/04/2021,31,MI,11298,9840190,10953,7063,5209847,6690,Report,11298,10953,4508,4895367,4684
08/04/2021,31,GA,691,8942802,9375,411,4905156,6487,Report,691,9375,579,4106222,3032
08/04/2021,31,NH,0,1599189,1077,0,867604,753,Admin,0,1077,0,779567,423
08/04/2021,31,LA,0,3698745,8657,0,2058619,7147,Admin,0,8658,0,1761377,1700
08/03/2021,31,HI,509,1723982,1156,394,1007198,754,Admin,509,1156,142,754057,467
08/03/2021,31,CA,42594,45383289,88812,27717,25758752,54660,Report,42594,88812,15512,20977261,36716
08/03/2021,31,DE,1130,1095045,1782,720,607793,1098,Report,1130,1782,443,515389,721
08/03/2021,31,ME,0,1677415,1135,0,918624,747,Admin,0,1135,0,855185,458
08/03/2021,31,OK,20891,3484925,8889,15454,1947477,6594,Report,20891,8889,5810,1600177,2528
08/03/2021,31,PR,0,3984683,4139,0,2186345,2062,Report,0,4139,15,1916897,2293
08/03/2021,31,NY,14759,23091118,30077,9772,12391008,19670,Admin,14759,30077,5708,11201214,11840
08/03/2021,31,NH,1029,1597768,1999,724,866560,1342,Report,1029,1999,353,794437,767
08/03/2021,31,GA,1,8942111,27481,1,4904745,18111,Report,1,27481,177,4105643,9499
08/03/2021,31,VT,452,874856,600,316,483554,371,Report,452,600,178,422270,274
08/03/2021,31,IL,0,13737959,14634,0,7887794,9863,Admin,0,14634,0,6114592,5448
08/03/2021,31,NE,0,1954156,2331,0,1044029,1662,Admin,0,2332,0,957559,752
08/03/2021,31,FM,219,56200,105,161,33594,77,Report,219,105,83,29439,51
08/03/2021,31,MT,1325,976173,1314,992,532016,947,Report,1325,1314,366,474642,423
08/03/2021,31,MO,0,5518017,9725,0,3068756,6401,Admin,0,9726,0,2599406,3584
08/03/2021,31,KY,0,4234268,6332,0,2337312,4704,Admin,0,6332,0,2044345,1936
08/03/2021,31,RP,0,26674,93,0,15345,77,Admin,0,93,0,13519,23
08/03/2021,31,LA,2,3698745,11155,1,2058619,9206,Admin,2,11155,1,1761377,2220
08/03/2021,31,IN,0,6108426,7093,0,3224073,4729,Admin,0,7094,0,3005129,2664
08/03/2021,31,MH,0,36161,45,0,19957,23,Report,0,45,0,17307,25
08/03/2021,31,LTC,0,7906639,522,0,4672917,383,Admin,0,522,0,3203893,158
08/03/2021,31,IN,5193,6098894,9783,3368,3217795,6239,Report,5193,9783,1815,2987001,3603
08/03/2021,31,NE,1850,1951052,3267,1322,1041887,2199,Report,1850,3267,590,960655,1092
08/03/2021,31,HI,1244,1722385,1509,906,1006087,991,Report,1244,1509,435,759606,662
08/03/2021,31,WI,3,6189517,5416,1,3281012,3685,Admin,3,5416,3,3046947,2030
08/03/2021,31,VA,269,9724507,15638,177,5283611,9725,Report,269,15638,261,4669654,6123
08/03/2021,31,NV,13,2994091,5517,7,1692445,3791,Admin,13,5518,6,1391334,1999
08/03/2021,31,AK,0,700531,610,0,383580,432,Admin,0,610,0,336922,232
08/03/2021,31,MN,33,6110306,5325,22,3323204,3636,Admin,33,5326,12,3029957,1991
08/03/2021,31,WV,449,1488339,486,288,827192,309,Report,449,486,255,700291,298
08/03/2021,31,AL,30793,3634744,14341,25047,2094585,11717,Report,30793,14341,6060,1693504,3011
08/03/2021,31,WY,16,447632,693,9,247108,490,Report,16,693,25,212359,272
08/03/2021,31,PR,0,3990725,1882,0,2189548,926,Admin,0,1882,0,1907547,1020
08/03/2021,31,MS,0,2188235,5807,0,1212096,4588,Admin,0,5807,0,1031914,1262
08/03/2021,31,ND,0,665764,619,0,365416,452,Admin,0,620,0,322202,187
08/03/2021,31,GU,2,203016,423,1,108437,216,Report,2,423,1,98791,244
08/03/2021,31,CT,1,4612302,4055,1,2503729,2715,Admin,1,4056,0,2264752,1595
